,year,quarter,ticker,close,close_quarter_after,forward_return,size,de,roe,roa
119,2024,4,STB,36.9,38.3,0.03794037940379402,34.248550484311146,12.60862972778722,0.2003356624,0.0141829272
120,2015,1,VCB,10.39,14.76,0.42059672762271405,33.922140111594715,11.130486922171107,0.0,0.0
121,2015,2,VCB,14.76,12.98,-0.12059620596205956,33.988048572232735,11.618999771889346,0.1083805097,0.0086668315
122,2015,3,VCB,12.98,13.28,0.02311248073959926,34.05357856257915,12.985033303612763,0.0,0.0
123,2015,4,VCB,13.28,12.4,-0.06626506024096379,34.144117841090775,13.655732905060415,0.0,0.0
124,2016,1,VCB,12.4,14.31,0.15403225806451615,34.12677626951572,13.047836810779453,0.1318086183,0.0095222662
125,2016,2,VCB,14.31,15.96,0.11530398322851165,34.151643655857384,12.97810326011727,0.0,0.0
126,2016,3,VCB,15.96,14.77,-0.07456140350877205,34.23440225786257,14.516064726289926,0.1429525782,0.0098036395
127,2016,4,VCB,14.77,15.37,0.04062288422478,34.30073375129781,14.988872346931325,0.146974081,0.0093437979
128,2017,1,VCB,15.37,16.04,0.04359141184124926,34.308455868110634,14.786693212386929,0.1472732014,0.0095965158
129,2017,2,VCB,16.04,16.0,-0.0024937655860348684,34.375966213591454,15.306942454018154,0.1531106038,0.0096246314
130,2017,3,VCB,16.0,23.11,0.44437499999999996,34.43173009021977,15.563200311117168,0.157974221,0.0097688493
131,2017,4,VCB,23.11,30.01,0.2985720467330162,34.57350181068379,18.149223916043557,0.1806301998,0.0099726515
132,2018,1,VCB,30.01,24.69,-0.17727424191936025,34.542674581100556,16.90586960613985,0.1918870737,0.0109680561
133,2018,2,VCB,24.69,26.81,0.08586472255974065,34.51620553368807,15.683085939494346,0.0,0.0
134,2018,3,VCB,26.81,23.06,-0.1398731816486386,34.53387581164367,15.173709615334888,0.209957537,0.0120500618
135,2018,4,VCB,23.06,29.01,0.2580225498699047,34.60921927409485,15.79446826984808,0.2545915437,0.0138486139
136,2019,1,VCB,29.01,30.39,0.04756980351602902,34.60954419002168,13.704813650636583,0.2466029362,0.0153867213
137,2019,2,VCB,30.39,35.39,0.16452780519907861,34.654472416935036,13.694944556440793,0.2515104159,0.0162089465
138,2019,3,VCB,35.39,39.23,0.10850522746538549,34.68503026859033,13.22136986233374,0.2632481774,0.0175244171
139,2019,4,VCB,39.23,26.97,-0.31251593168493497,34.740885093586805,13.273274158345398,0.2587808264,0.0161192423
140,2020,1,VCB,26.97,34.92,0.2947719688542827,34.6735435029743,12.450611838308324,0.2189137295,0.0154758807
141,2020,2,VCB,34.92,36.58,0.047537227949598915,34.70925447883843,12.238357323847719,0.2133901976,0.0154799718
142,2020,3,VCB,36.58,42.93,0.1735921268452707,34.7115290512893,11.701673815577966,0.1940954746,0.0144866746
143,2020,4,VCB,42.93,41.57,-0.03167947822035866,34.82210174963526,12.428536816642838,0.2108986857,0.0144775838
144,2021,1,VCB,41.57,51.04,0.22780851575655525,34.78482822285868,11.662065603942844,0.2210981547832489,0.017001859843730927
145,2021,2,VCB,51.04,42.62,-0.16496865203761757,34.80435020021032,11.427912104570558,0.206044184,0.0160973388
146,2021,3,VCB,42.62,44.63,0.047160957297043726,34.86464648689427,11.647450179614403,0.2039355727,0.0159551824
147,2021,4,VCB,44.63,46.5,0.041900067219359016,34.88574017375384,11.726069482994411,0.2157232139,0.0159938645
148,2022,1,VCB,46.5,42.36,-0.08903225806451609,34.91909336132418,11.493825108674848,0.2075165548,0.0165029312
149,2022,2,VCB,42.36,41.46,-0.021246458923512734,35.00983007515985,12.022887307381527,0.2165486775,0.017014105
150,2022,3,VCB,41.46,45.31,0.09286058851905454,35.039348223945005,11.84889873825401,0.2202979774,0.0172399119
151,2022,4,VCB,45.31,51.77,0.14257338335908187,35.134414494804844,12.14739251132352,0.244309439,0.0185219931
152,2023,1,VCB,51.77,56.64,0.09406992466679531,35.15203113858921,11.764083012749253,0.2315732438,0.017891605
153,2023,2,VCB,56.64,58.53,0.033368644067796716,35.0719150997921,10.212240036797622,0.2301971451,0.0184772354
154,2023,3,VCB,58.53,53.71,-0.08235093114642067,35.0876521846992,9.872063075119955,0.2263474527,0.018943357
155,2023,4,VCB,53.71,63.48,0.18190281139452602,35.148119779053424,9.912466274843375,0.2197388427,0.0180833998
156,2024,1,VCB,63.48,56.99,-0.10223692501575288,35.1118518136776,9.216412828066767,0.1997346761,0.0185155376
157,2024,2,VCB,56.99,61.54,0.07983856816985435,35.18359369635378,9.487669960589763,0.1951290992,0.0183856002
158,2024,3,VCB,61.54,61.0,-0.008774780630484202,35.19751943613962,9.154452765127918,0.1939126694,0.0185861353
159,2024,4,VCB,61.0,64.0,0.049180327868852514,35.27396411781982,9.630866759498211,0.1873163957,0.0172367854
160,2015,1,MWG,9.69,8.32,-0.14138286893704843,28.93005510838432,1.1434724064518478,0.0,0.0
161,2015,2,MWG,8.32,6.9,-0.17067307692307687,29.022853091915266,1.077594658107242,0.5068565997,0.2330719904
162,2015,3,MWG,6.9,8.88,0.28695652173913055,29.2025239975894,1.2372825669405192,0.0,0.0
163,2015,4,MWG,8.88,8.54,-0.03828828828828845,29.61419432608094,1.9255518789784056,0.0,0.0
164,2016,1,MWG,8.54,14.19,0.6615925058548011,29.706065923613657,1.745170419086827,0.531266787,0.2091057064
165,2016,2,MWG,14.19,16.06,0.13178294573643412,29.709789223676772,1.5803861031469661,0.0,0.0
166,2016,3,MWG,16.06,17.99,0.1201743462017435,29.951085606720003,1.9195007153657635,0.5192170303,0.1860516975
167,2016,4,MWG,17.99,19.41,0.0789327404113398,30.326086489451594,2.854496666222701,0.4987809543,0.1426194042
168,2017,1,MWG,19.41,23.93,0.23286965481710453,30.277719219207942,2.2073273553117216,0.4634178072,0.1458977524
169,2017,2,MWG,23.93,27.05,0.13038027580442968,30.31553045139155,2.130963261267372,0.4417961218,0.1348613057
170,2017,3,MWG,27.05,30.47,0.12643253234750462,30.442379326476217,2.1714331854696782,0.4380947789,0.1321889017
171,2017,4,MWG,30.47,26.24,-0.13882507384312437,30.758370399377114,2.8608479289265345,0.4524343863,0.1170838378
172,2018,1,MWG,26.24,26.89,0.024771341463414753,30.7947599015273,2.2552142772473758,0.4251336914,0.1263046267
173,2018,2,MWG,26.89,30.01,0.11602826329490523,30.823252668002645,2.2390550619754817,0.0,0.0
174,2018,3,MWG,30.01,27.36,-0.0883038987004332,30.871518756901644,2.129628649751204,0.3824129582,0.1145120387
175,2018,4,MWG,27.36,26.67,-0.025219298245613975,30.968216948732625,2.1325832931632336,0.3866147561,0.113012585
176,2019,1,MWG,26.67,29.69,0.1132358455193101,31.045634128237374,2.035324878471716,0.3589336804,0.1147901557
177,2019,2,MWG,29.69,40.34,0.35870663523071755,31.12043772003099,2.1413043899082687,0.3680398323,0.1183999262
178,2019,3,MWG,40.34,36.47,-0.09593455627169079,31.107740216566295,1.865738179808447,0.3601818647,0.1186014199
